
!Sample_title	"030064-BC-Brain-Met"	"BC00014-Repeat1"	"BC00057-post-chemo"	"BC00064-RECUR"	"PB362"	"UB67-Repeat1"	"BC00085"	"020577-BC-Brain-Met(=73)"	"Normal-Breast-8"	"BC00078T"	"BC00082T"	"PB432-repeat1"	"030311-BC-Brain-Met"	"982085-BC-Brain-Met"	"BC00030-MET-post chemo"	"BC00048"	"BC00083"	"BC00094T"	"BR94-187"
"ID_REF"	"GSM34435"	"GSM34436"	"GSM34444"	"GSM34469"	"GSM34501"	"GSM34503"	"GSM34509"	"GSM34520"	"GSM34524"	"GSM34551"	"GSM34552"	"GSM52882"	"GSM80214"	"GSM80215"	"GSM80225"	"GSM80228"	"GSM80234"	"GSM80236"	"GSM80239"
86	-3.488	-3.555	.344	-1.099	-2.732	-1.983	-3.092	-3.788	-2.902	-3.102	-.3	-2.049	-3.213	-.816	-.782	-2.797	-3.454	-3.333	-1.741
87		-.957	0	0	1.534	0	0	-.937	0	0	-1.046	0	0		0	0	0	0	.053
88	-.083	-.189	-.278	.068	.222	.47	.505	-.144	1.149	.159	-.638	-.481	.491	-.071	-.252	.301	.472	-.501	.456
89		0	-2.041	0	0	0	1.425	-2.858	0	0	-1.504	.953	0		0	-.875	-.846	0	-2.633
90	.413	1.506	2.422	1.693	1.168	2.453	.676	2.508	1.056	.475	2.119	1.491	.464	.395	1.6	2.397	1.712	2.803	-.503
91	-3.886	-3.733	-1.431	-3.214	-3.828	-3.475	-3.204	-5.486	-2.42	-2.866	-2.797	-3.995	-3.646	-4.255	-3.522	-5.302	-5.29	-2.898	-2.083
92	-.125	-.546	-.152	-.107	-.367	-.224	-.003	-.171	.153	-.184	.107	-.323	-.024	.158	-.399	-.343	-.255	.011	.112
93		0	0	-.314	1.147	.55	0		-1.278	0	-2.286	.047	0	-.768	.245	0	0	1.86	.696
94	.071	.044	.167	.145	.647	.137	.234	-.139	.22	-.24	.053	-.311	.088	-.018	-.11	.265	-.26	.02	.025
95	.87	.944	-.103	.239	1.151	1	1.279	-.099	.294	-.24	1.647	-.401	.417	3.018	.178	1.096	1.129	.364	-.493
